"replicate","n","corner_relief","edge","family","cor_true","delta_kl_total","node_holdout_score","gen_time","fit_time"
1,2000,0,"1->2","Clayton(3.0)",0.766973341651186,0,0.459421949876462,9.13600301742554,1.18949699401855
1,2000,0,"7->8","Gumbel(3.0)",0.836578129657584,0,0.538133048040149,9.13600301742554,1.18949699401855
1,2000,0.3,"1->2","Clayton(3.0)",0.781695931384404,0.061093318286169,0.463714434692351,9.13600301742554,1.1208701133728
1,2000,0.3,"7->8","Gumbel(3.0)",0.837954246292562,0.061093318286169,0.539255184296511,9.13600301742554,1.1208701133728
1,2000,0.6,"1->2","Clayton(3.0)",0.781103851759038,0.0348277002109056,0.464139694793172,9.13600301742554,1.11249685287476
1,2000,0.6,"7->8","Gumbel(3.0)",0.844178538652961,0.0348277002109056,0.542197607483025,9.13600301742554,1.11249685287476
1,2000,0.8,"1->2","Clayton(3.0)",0.782363897262049,0.169295497134413,0.463980111886272,9.13600301742554,1.11852097511292
1,2000,0.8,"7->8","Gumbel(3.0)",0.83656147949736,0.169295497134413,0.538288228784302,9.13600301742554,1.11852097511292
1,4000,0,"1->2","Clayton(3.0)",0.733345780651335,0,0.374604131363608,18.3829951286316,4.1577479839325
1,4000,0,"7->8","Gumbel(3.0)",0.840734705599205,0,0.584001687882351,18.3829951286316,4.1577479839325
1,4000,0.3,"1->2","Clayton(3.0)",0.782389886418703,0.0720058090612481,0.422338469396717,18.3829951286316,4.15977096557617
1,4000,0.3,"7->8","Gumbel(3.0)",0.830894028138273,0.0720058090612481,0.570460089391817,18.3829951286316,4.15977096557617
1,4000,0.6,"1->2","Clayton(3.0)",0.760776769906582,0.200099825798066,0.422869249688538,18.3829951286316,4.2455689907074
1,4000,0.6,"7->8","Gumbel(3.0)",0.835126041341373,0.200099825798066,0.577107740329243,18.3829951286316,4.2455689907074
1,4000,0.8,"1->2","Clayton(3.0)",0.780082541698206,0.0884673118206187,0.424949070889104,18.3829951286316,4.35908579826355
1,4000,0.8,"7->8","Gumbel(3.0)",0.83792565743867,0.0884673118206187,0.580874380673709,18.3829951286316,4.35908579826355
1,8000,0,"1->2","Clayton(3.0)",0.779440477994278,0,0.456023341680156,37.0658299922943,16.108206987381
1,8000,0,"7->8","Gumbel(3.0)",0.828867496394408,0,0.551933152042262,37.0658299922943,16.108206987381
1,8000,0.3,"1->2","Clayton(3.0)",0.77634116525608,0.123114812704987,0.457201943796805,37.0658299922943,16.0503358840942
1,8000,0.3,"7->8","Gumbel(3.0)",0.830951866000501,0.123114812704987,0.554870403173563,37.0658299922943,16.0503358840942
1,8000,0.6,"1->2","Clayton(3.0)",0.783662395423445,0.0885396570515526,0.453676478803308,37.0658299922943,15.9401669502258
1,8000,0.6,"7->8","Gumbel(3.0)",0.836277349056428,0.0885396570515526,0.561009771175966,37.0658299922943,15.9401669502258
1,8000,0.8,"1->2","Clayton(3.0)",0.784042209972042,0.0426107124429906,0.453604312265899,37.0658299922943,16.0874569416046
1,8000,0.8,"7->8","Gumbel(3.0)",0.833412626469324,0.0426107124429906,0.557985003132492,37.0658299922943,16.0874569416046
1,16000,0,"1->2","Clayton(3.0)",0.780033691811988,0,0.45642942112053,75.218817949295,68.1174371242523
1,16000,0,"7->8","Gumbel(3.0)",0.784903835825233,0,0.450767571190413,75.218817949295,68.1174371242523
