"n","edge","family","selected_degree","selected_lambda","cor_fixed","cor_auto","delta_kl_total","gen_time","fixed_time","auto_time"
2000,"1->2","Clayton(3.0)",10,0.05,0.779544882606126,0.818986962754806,0.251794127332307,10.0278799533844,1.1883909702301,19.282763004303
2000,"7->8","Gumbel(3.0)",10,0.05,0.835734920349293,0.857773205692953,0.251794127332307,10.0278799533844,1.1883909702301,19.282763004303
4000,"1->2","Clayton(3.0)",10,0.05,0.771361312726124,0.803731160021443,0.203071208885642,19.177628993988,4.24999499320984,63.9463560581207
4000,"7->8","Gumbel(3.0)",10,0.05,0.826248728677526,0.858090167462688,0.203071208885642,19.177628993988,4.24999499320984,63.9463560581207
8000,"1->2","Clayton(3.0)",10,0.05,0.777695738326283,0.811899216300213,0.0985093569214279,38.0934371948242,16.1374850273132,272.31548500061
8000,"7->8","Gumbel(3.0)",10,0.05,0.822710125638939,0.834634066573202,0.0985093569214279,38.0934371948242,16.1374850273132,272.31548500061
16000,"1->2","Clayton(3.0)",10,0.05,0.763313791566804,0.816709504274797,0.319268004645854,84.2432680130005,66.6456940174103,878.977986097336
16000,"7->8","Gumbel(3.0)",10,0.05,0.838690340017949,0.863926469985197,0.319268004645854,84.2432680130005,66.6456940174103,878.977986097336
